objectCount,operationTimeMs,heapUsedMB,heapMaxMB
0,1715.464,37,4026
1,16.566,38,4026
2,12.017,38,4026
3,12.117,39,4026
4,12.162,39,4026
5,10.626,40,4026
6,9.996,41,4026
7,11.228,41,4026
8,10.045,42,4026
9,10.466,42,4026
10,11.557,43,4026
11,10.457,44,4026
12,11.508,44,4026
13,9.765,45,4026
14,10.233,46,4026
15,9.767,47,4026
16,8.869,47,4026
17,9.691,48,4026
18,8.618,48,4026
19,8.175,49,4026
20,8.027,50,4026
21,11.588,50,4026
22,8.935,51,4026
23,10.257,52,4026
24,8.394,52,4026
25,13.819,53,4026
26,9.409,54,4026
27,10.717,54,4026
28,10.792,55,4026
29,10.933,55,4026
30,8.365,56,4026
31,17.513,57,4026
32,12.063,57,4026
33,20.912,58,4026
34,9.696,59,4026
35,9.827,59,4026
36,10.390,60,4026
37,8.531,60,4026
38,8.043,61,4026
39,7.472,62,4026
40,8.223,62,4026
41,8.248,63,4026
42,17.040,64,4026
43,8.574,64,4026
44,9.876,65,4026
45,11.516,66,4026
46,10.349,66,4026
47,10.173,67,4026
48,7.866,67,4026
49,8.568,69,4026
50,8.330,69,4026
51,11.742,70,4026
52,9.120,70,4026
53,11.075,71,4026
54,8.988,72,4026
55,8.603,72,4026
56,10.643,73,4026
57,8.682,73,4026
58,7.212,74,4026
59,8.889,75,4026
60,8.222,75,4026
61,8.985,76,4026
62,9.336,77,4026
63,20.197,29,4026
64,10.235,30,4026
65,7.939,30,4026
66,7.955,31,4026
67,6.948,32,4026
68,7.484,32,4026
69,8.699,33,4026
70,8.877,33,4026
71,8.083,34,4026
72,8.697,35,4026
73,7.415,35,4026
74,7.574,36,4026
75,18.302,36,4026
76,7.872,37,4026
77,7.221,38,4026
78,7.572,38,4026
79,17.734,39,4026
80,7.637,39,4026
81,7.970,40,4026
82,8.745,41,4026
83,8.093,41,4026
84,8.237,42,4026
85,8.874,43,4026
86,8.922,43,4026
87,18.084,44,4026
88,6.612,45,4026
89,7.308,45,4026
90,7.495,46,4026
91,7.160,46,4026
92,6.083,47,4026
93,6.424,48,4026
94,6.786,48,4026
95,7.678,49,4026
96,8.800,49,4026
97,7.358,50,4026
