objectCount,operationTimeMs,heapUsedMB,heapMaxMB
500,4.693,61,4026
499,4.744,61,4026
498,4.747,61,4026
497,5.522,61,4026
496,14.915,61,4026
495,7.841,61,4026
494,10.160,62,4026
493,6.351,62,4026
492,8.242,62,4026
491,4.807,62,4026
490,6.137,62,4026
489,5.854,62,4026
488,4.903,62,4026
487,5.262,62,4026
486,18.990,63,4026
485,6.334,63,4026
484,13.796,63,4026
483,3.491,63,4026
482,2.855,63,4026
481,2.657,63,4026
480,14.764,63,4026
479,13.416,64,4026
478,3.267,64,4026
477,3.139,64,4026
476,3.621,64,4026
475,3.121,64,4026
474,13.311,64,4026
473,15.614,64,4026
472,13.350,64,4026
471,3.123,65,4026
470,2.267,65,4026
469,13.094,65,4026
468,2.776,65,4026
467,11.756,65,4026
466,2.847,65,4026
465,3.533,65,4026
464,2.872,65,4026
463,14.232,66,4026
462,13.871,66,4026
461,2.574,66,4026
460,2.555,66,4026
459,2.038,66,4026
458,13.911,66,4026
457,3.116,66,4026
456,14.178,66,4026
455,3.347,67,4026
454,13.826,67,4026
453,3.357,67,4026
452,14.878,67,4026
451,3.645,67,4026
450,15.101,67,4026
449,5.122,67,4026
448,3.393,68,4026
447,15.447,68,4026
446,4.407,68,4026
445,3.497,68,4026
444,14.392,68,4026
443,13.476,69,4026
442,14.639,69,4026
441,3.893,69,4026
440,3.347,69,4026
439,3.288,69,4026
438,4.617,69,4026
437,3.767,69,4026
436,14.559,69,4026
435,2.832,70,4026
434,2.291,70,4026
433,2.319,70,4026
432,14.172,70,4026
431,13.333,70,4026
430,2.920,70,4026
429,2.302,70,4026
428,14.066,70,4026
427,3.028,71,4026
426,13.789,71,4026
425,2.991,71,4026
424,2.442,71,4026
423,3.202,71,4026
422,2.824,71,4026
421,2.194,71,4026
420,2.300,71,4026
419,2.820,72,4026
418,2.499,72,4026
417,2.433,72,4026
416,12.044,72,4026
415,14.243,72,4026
414,13.179,72,4026
413,13.592,72,4026
412,3.325,72,4026
411,2.861,73,4026
410,2.127,73,4026
409,2.990,73,4026
408,2.127,73,4026
407,13.748,73,4026
406,4.217,73,4026
405,3.469,73,4026
404,3.089,74,4026
403,13.692,74,4026
