objectCount,operationTimeMs,heapUsedMB,heapMaxMB
0,8.096,97,3656
1,22.418,97,3656
2,6.461,98,3656
3,4.893,99,3656
4,5.633,99,3656
5,5.021,100,3656
6,4.414,100,3656
7,3.660,101,3656
8,4.159,101,3656
9,4.542,102,3656
10,4.489,102,3656
11,4.924,106,3656
12,4.686,106,3656
13,6.165,107,3656
14,7.927,107,3656
15,7.756,108,3656
16,6.920,108,3656
17,7.199,109,3656
18,6.704,109,3656
19,5.974,110,3656
20,5.117,111,3656
21,8.607,111,3656
22,7.666,112,3656
23,6.531,112,3656
24,6.184,113,3656
25,5.514,113,3656
26,4.985,114,3656
27,3.988,114,3656
28,3.380,115,3656
29,3.363,116,3656
30,3.355,116,3656
31,3.701,117,3656
32,3.507,117,3656
33,5.084,118,3656
34,3.792,118,3656
35,3.746,119,3656
36,3.677,119,3656
37,3.936,120,3656
38,3.918,121,3656
39,5.368,121,3656
40,4.893,122,3656
41,3.701,122,3656
42,3.494,123,3656
43,3.574,123,3656
44,3.901,124,3656
45,3.743,124,3656
46,4.771,125,3656
47,4.260,126,3656
48,4.362,126,3656
49,3.423,127,3656
50,4.210,127,3656
51,4.783,128,3656
52,6.051,128,3656
53,5.963,129,3656
54,5.933,42,3656
55,7.611,42,3656
56,6.620,43,3656
57,6.110,43,3656
58,6.229,44,3656
59,7.000,45,3656
60,5.699,45,3656
61,5.008,46,3656
62,4.249,46,3656
63,5.010,47,3656
64,5.628,47,3656
65,5.586,48,3656
66,5.604,48,3656
67,5.061,49,3656
68,4.899,50,3656
69,4.566,50,3656
70,4.801,51,3656
71,5.351,51,3656
72,4.251,52,3656
73,5.192,52,3656
74,5.122,53,3656
75,5.751,56,3656
76,4.696,57,3656
77,5.037,57,3656
78,4.026,58,3656
79,5.467,58,3656
80,5.521,59,3656
81,5.354,59,3656
82,5.075,60,3656
83,5.608,60,3656
84,6.253,61,3656
85,5.486,62,3656
86,5.149,62,3656
87,4.741,63,3656
88,4.367,63,3656
89,4.860,64,3656
90,3.731,64,3656
91,4.202,65,3656
92,3.449,65,3656
93,3.949,66,3656
94,3.719,66,3656
95,4.315,67,3656
96,4.850,68,3656
97,5.085,68,3656
98,4.848,69,3656
99,9.635,69,3656
100,7.086,70,3656
101,6.473,70,3656
102,6.691,71,3656
103,5.665,72,3656
104,5.342,72,3656
105,5.595,73,3656
106,6.004,73,3656
107,5.788,74,3656
108,5.706,74,3656
109,7.218,75,3656
110,5.721,75,3656
111,4.614,76,3656
112,5.187,77,3656
113,5.405,77,3656
114,6.724,78,3656
115,5.896,78,3656
116,5.461,79,3656
117,4.758,79,3656
118,4.623,80,3656
119,5.544,80,3656
120,6.977,81,3656
121,6.389,82,3656
122,5.705,82,3656
123,6.316,83,3656
124,6.643,83,3656
125,5.449,84,3656
126,5.196,84,3656
127,4.948,85,3656
128,5.933,85,3656
129,5.898,86,3656
130,5.358,87,3656
131,5.001,87,3656
132,6.497,88,3656
133,5.311,88,3656
134,6.095,89,3656
135,5.395,89,3656
136,4.712,90,3656
137,6.062,90,3656
