objectCount,operationTimeMs,heapUsedMB,heapMaxMB
500,19.165,129,3656
499,9.910,129,3656
498,7.462,129,3656
497,8.552,129,3656
496,7.627,130,3656
495,6.996,130,3656
494,8.795,130,3656
493,7.725,130,3656
492,7.337,130,3656
491,7.292,130,3656
490,7.168,130,3656
489,13.521,130,3656
488,24.724,33,3656
487,16.786,33,3656
486,9.388,33,3656
485,8.946,33,3656
484,7.842,33,3656
483,6.560,33,3656
482,6.754,33,3656
481,6.667,33,3656
480,5.347,33,3656
479,6.998,33,3656
478,6.537,33,3656
477,6.711,33,3656
476,7.861,33,3656
475,5.863,34,3656
474,6.305,34,3656
473,6.243,34,3656
472,6.880,34,3656
471,6.429,34,3656
470,5.945,34,3656
469,6.256,34,3656
468,5.912,34,3656
467,5.487,35,3656
466,5.452,35,3656
465,5.556,35,3656
464,5.103,35,3656
463,6.223,35,3656
462,7.653,35,3656
461,5.361,35,3656
460,5.492,35,3656
459,5.043,36,3656
458,4.350,36,3656
457,4.428,36,3656
456,3.763,36,3656
455,4.582,36,3656
454,4.942,36,3656
453,4.094,36,3656
452,3.525,36,3656
451,4.668,37,3656
450,5.777,37,3656
449,6.067,37,3656
448,5.949,37,3656
447,5.522,37,3656
446,5.128,37,3656
445,5.553,37,3656
444,6.103,38,3656
443,5.170,38,3656
442,4.809,38,3656
441,6.135,38,3656
440,5.569,38,3656
439,4.922,38,3656
438,4.587,38,3656
437,4.159,38,3656
436,4.684,39,3656
435,4.621,39,3656
434,3.682,39,3656
433,2.907,39,3656
432,2.628,39,3656
431,2.729,39,3656
430,2.532,39,3656
429,2.463,39,3656
428,3.800,40,3656
427,3.830,40,3656
426,3.801,40,3656
425,3.171,40,3656
424,4.176,40,3656
423,3.679,40,3656
422,3.383,40,3656
421,3.260,40,3656
420,4.677,41,3656
419,3.578,41,3656
418,2.717,41,3656
417,3.640,41,3656
416,2.663,41,3656
415,2.730,41,3656
414,5.339,41,3656
413,5.005,41,3656
412,3.419,42,3656
411,2.928,42,3656
410,2.799,42,3656
409,2.601,42,3656
408,2.554,42,3656
407,2.911,42,3656
406,3.389,42,3656
405,3.214,42,3656
404,2.844,43,3656
403,2.826,43,3656
402,2.696,43,3656
401,2.944,43,3656
400,2.410,43,3656
399,3.666,43,3656
398,4.964,43,3656
397,4.484,44,3656
396,3.163,44,3656
395,2.978,44,3656
394,2.954,44,3656
393,3.282,44,3656
392,2.996,44,3656
391,2.865,44,3656
390,3.381,44,3656
389,3.544,45,3656
388,3.988,45,3656
387,3.458,45,3656
386,3.572,45,3656
385,3.758,45,3656
384,5.186,45,3656
383,3.552,45,3656
382,3.152,45,3656
381,2.702,46,3656
380,2.631,46,3656
379,2.889,46,3656
378,2.465,46,3656
377,2.503,46,3656
