objectCount,operationTimeMs,heapUsedMB,heapMaxMB
1,25.408,78,3656
2,16.001,79,3656
3,11.475,79,3656
4,6.659,80,3656
5,5.834,81,3656
6,5.034,82,3656
7,4.862,83,3656
8,4.301,84,3656
9,4.182,84,3656
10,4.852,85,3656
11,3.826,86,3656
12,4.201,86,3656
13,6.011,87,3656
14,6.308,88,3656
15,5.518,88,3656
16,3.297,89,3656
17,3.592,90,3656
18,3.738,91,3656
19,3.002,91,3656
20,3.118,92,3656
21,4.233,93,3656
22,4.506,93,3656
23,4.380,94,3656
24,5.331,97,3656
25,4.694,98,3656
26,4.308,99,3656
27,4.363,99,3656
28,3.452,100,3656
29,3.153,101,3656
30,3.209,101,3656
31,3.009,102,3656
32,3.241,103,3656
33,2.631,104,3656
34,3.033,104,3656
35,2.934,105,3656
36,3.108,106,3656
37,2.759,106,3656
38,5.466,107,3656
39,2.977,108,3656
40,3.109,108,3656
41,2.926,109,3656
42,3.008,110,3656
43,2.872,111,3656
44,4.113,111,3656
45,3.474,112,3656
46,2.615,113,3656
47,2.794,113,3656
48,2.740,114,3656
49,3.154,115,3656
50,3.250,115,3656
51,3.115,116,3656
52,3.486,117,3656
53,3.910,118,3656
54,3.505,118,3656
55,2.835,119,3656
56,2.574,120,3656
57,3.250,120,3656
58,4.183,121,3656
59,4.004,122,3656
60,4.164,122,3656
61,4.253,123,3656
62,7.921,124,3656
63,4.749,125,3656
64,5.371,125,3656
65,5.022,126,3656
66,4.495,127,3656
67,5.175,128,3656
68,6.693,128,3656
69,7.165,129,3656
70,4.842,130,3656
71,4.303,130,3656
72,4.929,131,3656
73,4.929,132,3656
74,5.243,132,3656
75,6.108,133,3656
76,11.833,134,3656
77,17.627,135,3656
78,20.534,135,3656
79,15.764,136,3656
80,89.114,47,3656
81,15.321,47,3656
82,18.071,48,3656
83,19.608,49,3656
84,22.119,49,3656
85,19.524,50,3656
86,13.649,51,3656
87,21.474,52,3656
88,14.811,55,3656
89,20.838,55,3656
90,14.947,56,3656
91,30.977,57,3656
92,19.685,58,3656
93,13.605,58,3656
94,19.723,59,3656
95,11.828,60,3656
96,12.248,60,3656
97,9.897,61,3656
98,4.563,62,3656
99,7.423,62,3656
100,4.870,63,3656
101,4.661,64,3656
102,4.303,65,3656
103,4.076,65,3656
104,4.097,66,3656
105,4.506,67,3656
106,4.567,67,3656
107,4.274,68,3656
108,4.297,69,3656
109,4.186,69,3656
110,3.580,70,3656
111,5.012,71,3656
112,4.315,72,3656
113,9.972,72,3656
114,13.466,73,3656
115,8.298,74,3656
116,7.694,74,3656
117,9.685,75,3656
118,10.365,76,3656
119,11.881,76,3656
120,4.465,77,3656
121,4.366,78,3656
122,4.082,79,3656
123,4.447,79,3656
124,4.550,80,3656
125,4.831,81,3656
126,4.281,81,3656
127,3.791,82,3656
128,5.362,83,3656
129,4.411,84,3656
130,3.826,84,3656
131,3.542,85,3656
132,4.249,86,3656
133,3.246,86,3656
134,3.311,87,3656
135,4.290,88,3656
136,4.253,88,3656
137,4.022,89,3656
138,4.580,90,3656
139,4.311,91,3656
140,4.774,91,3656
141,4.136,92,3656
142,3.761,93,3656
143,3.499,93,3656
144,2.785,94,3656
145,3.320,95,3656
146,2.733,95,3656
147,3.000,96,3656
148,4.662,97,3656
149,3.044,98,3656
150,3.342,98,3656
151,2.600,99,3656
152,3.522,102,3656
153,3.750,103,3656
154,3.770,104,3656
155,3.982,104,3656
156,2.795,105,3656
157,2.554,106,3656
158,2.423,106,3656
159,2.507,107,3656
160,2.725,108,3656
161,2.547,108,3656
162,2.539,109,3656
163,2.410,110,3656
164,2.695,111,3656
165,2.239,111,3656
166,2.535,112,3656
167,2.178,113,3656
168,2.463,113,3656
169,2.561,114,3656
170,6.349,41,3656
171,6.165,39,3656
172,3.198,40,3656
173,2.696,41,3656
174,2.917,42,3656
175,2.996,42,3656
176,3.029,43,3656
177,2.506,44,3656
178,2.956,44,3656
179,4.164,45,3656
180,2.641,46,3656
181,2.833,46,3656
182,2.361,47,3656
183,2.618,48,3656
184,2.357,49,3656
185,2.175,49,3656
186,2.333,50,3656
187,2.474,51,3656
188,2.169,51,3656
189,2.305,52,3656
190,2.730,53,3656
191,2.081,53,3656
192,2.757,54,3656
193,2.725,55,3656
194,2.565,56,3656
195,2.335,56,3656
196,2.227,57,3656
197,2.581,58,3656
198,2.444,58,3656
199,3.175,59,3656
200,2.928,60,3656
201,3.866,60,3656
202,3.569,61,3656
203,3.614,62,3656
204,6.409,63,3656
205,5.693,63,3656
206,4.284,64,3656
207,4.250,65,3656
208,5.320,65,3656
209,4.429,66,3656
210,5.518,67,3656
211,5.584,67,3656
212,4.513,68,3656
213,4.630,69,3656
214,4.025,70,3656
215,4.451,70,3656
216,3.606,73,3656
217,2.846,74,3656
218,2.948,75,3656
219,2.823,76,3656
220,4.049,76,3656
221,2.598,77,3656
222,2.713,78,3656
223,5.662,78,3656
224,3.044,79,3656
225,2.704,80,3656
226,2.545,80,3656
227,2.749,81,3656
228,2.475,82,3656
229,2.553,83,3656
230,2.630,83,3656
231,2.423,84,3656
232,2.558,85,3656
233,2.400,85,3656
234,2.809,86,3656
235,2.355,87,3656
236,2.695,87,3656
237,2.448,88,3656
238,2.716,89,3656
239,2.599,89,3656
240,2.407,90,3656
241,2.525,91,3656
242,2.321,92,3656
243,3.464,92,3656
244,2.428,93,3656
245,2.443,94,3656
246,3.175,94,3656
247,3.723,95,3656
248,2.660,96,3656
249,2.580,96,3656
250,2.597,97,3656
251,2.770,98,3656
252,3.010,99,3656
253,3.112,99,3656
254,2.934,100,3656
255,3.649,101,3656
256,3.727,101,3656
257,2.838,102,3656
258,2.429,103,3656
259,2.575,104,3656
260,2.653,104,3656
261,2.422,105,3656
262,2.752,106,3656
263,2.259,106,3656
264,2.291,107,3656
265,2.142,108,3656
266,2.823,108,3656
267,3.554,109,3656
268,3.499,110,3656
269,2.838,110,3656
270,4.006,111,3656
271,3.441,112,3656
272,2.703,113,3656
273,3.516,113,3656
274,2.772,114,3656
275,2.497,115,3656
276,2.604,115,3656
277,2.476,116,3656
278,2.395,117,3656
279,2.720,117,3656
280,2.837,121,3656
281,2.970,121,3656
282,2.972,122,3656
283,2.713,123,3656
284,2.592,123,3656
285,2.683,124,3656
286,2.596,125,3656
287,2.516,126,3656
288,2.561,126,3656
289,2.648,127,3656
290,2.501,128,3656
291,2.350,128,3656
292,2.325,129,3656
293,2.641,130,3656
294,3.245,130,3656
295,2.788,131,3656
296,2.709,132,3656
297,2.886,133,3656
298,2.581,133,3656
299,2.905,134,3656
300,2.821,135,3656
301,2.925,135,3656
302,3.807,136,3656
303,4.867,137,3656
304,3.216,137,3656
305,3.135,138,3656
306,3.222,41,3656
307,2.928,42,3656
308,2.516,42,3656
309,2.603,43,3656
310,2.806,44,3656
311,2.986,44,3656
312,2.624,45,3656
313,2.677,46,3656
314,2.520,46,3656
315,4.258,47,3656
316,2.813,48,3656
317,2.676,49,3656
318,2.866,49,3656
319,2.690,50,3656
320,3.442,51,3656
321,3.883,51,3656
322,2.816,52,3656
323,3.998,53,3656
324,3.701,53,3656
325,3.954,54,3656
326,4.346,55,3656
327,5.418,55,3656
328,5.415,56,3656
329,3.901,57,3656
330,4.106,58,3656
331,3.965,58,3656
332,4.890,59,3656
333,3.769,60,3656
334,2.905,60,3656
335,2.611,61,3656
336,2.777,62,3656
337,2.646,62,3656
338,3.074,63,3656
339,3.275,64,3656
340,2.340,65,3656
341,2.306,65,3656
342,2.725,66,3656
343,2.438,67,3656
344,2.845,70,3656
345,2.270,71,3656
346,2.931,71,3656
347,2.761,72,3656
348,2.558,73,3656
349,3.130,73,3656
350,2.602,74,3656
351,3.250,75,3656
352,3.310,75,3656
353,2.888,76,3656
354,3.333,77,3656
355,3.012,78,3656
356,3.091,78,3656
357,3.029,79,3656
358,2.790,80,3656
359,2.608,80,3656
360,3.227,81,3656
361,2.688,82,3656
362,3.310,82,3656
363,3.250,83,3656
364,3.461,84,3656
365,2.827,85,3656
366,3.089,85,3656
367,3.045,86,3656
368,2.814,87,3656
369,2.774,87,3656
370,2.779,88,3656
371,3.102,89,3656
372,2.766,89,3656
373,2.869,90,3656
374,2.967,91,3656
375,2.600,91,3656
376,3.200,92,3656
377,2.916,93,3656
378,3.341,94,3656
379,3.783,94,3656
380,4.569,95,3656
381,9.119,96,3656
382,11.523,96,3656
383,5.859,97,3656
384,8.591,98,3656
385,9.231,98,3656
386,5.859,99,3656
387,4.314,100,3656
388,3.732,101,3656
389,3.922,101,3656
390,3.665,102,3656
391,3.572,103,3656
392,3.828,103,3656
393,3.999,104,3656
394,3.774,105,3656
395,3.865,105,3656
396,4.072,106,3656
397,3.882,107,3656
398,3.664,107,3656
