objectCount,operationTimeMs,heapUsedMB,heapMaxMB
1,13.646,84,4026
2,6.306,38,4026
3,4.804,39,4026
4,4.263,39,4026
5,4.637,40,4026
6,14.798,41,4026
7,5.464,41,4026
8,4.321,42,4026
9,4.657,43,4026
10,15.527,44,4026
11,14.926,44,4026
12,15.238,45,4026
13,4.863,46,4026
14,13.598,47,4026
15,14.442,47,4026
16,4.194,48,4026
17,5.150,49,4026
18,4.223,50,4026
19,4.624,50,4026
20,15.152,51,4026
21,15.031,52,4026
22,5.004,53,4026
23,5.431,53,4026
24,5.750,57,4026
25,4.108,57,4026
26,4.396,58,4026
27,7.225,59,4026
28,4.423,60,4026
29,5.938,60,4026
30,4.339,61,4026
31,3.917,62,4026
32,4.059,63,4026
33,4.919,63,4026
34,14.825,64,4026
35,3.976,65,4026
36,16.073,66,4026
37,3.842,66,4026
38,5.142,67,4026
39,4.360,68,4026
40,15.675,69,4026
41,5.350,69,4026
42,15.560,70,4026
43,4.495,71,4026
44,4.033,71,4026
45,4.567,72,4026
46,4.865,73,4026
47,15.666,74,4026
48,5.127,74,4026
49,4.396,75,4026
50,15.520,76,4026
51,4.063,77,4026
52,17.590,77,4026
53,5.232,78,4026
54,6.860,79,4026
55,5.285,80,4026
56,15.313,80,4026
57,4.700,81,4026
58,4.986,34,4026
59,4.892,35,4026
60,4.494,35,4026
61,5.051,36,4026
62,5.876,37,4026
63,4.740,38,4026
64,5.169,38,4026
65,4.295,39,4026
66,4.435,40,4026
67,5.628,41,4026
68,6.298,41,4026
69,5.764,42,4026
70,6.168,43,4026
71,5.924,43,4026
72,4.626,44,4026
73,15.243,45,4026
74,14.641,46,4026
75,4.416,46,4026
76,14.806,47,4026
77,15.394,48,4026
78,6.323,49,4026
79,18.448,49,4026
80,14.690,50,4026
81,5.706,51,4026
82,6.354,52,4026
83,5.546,52,4026
84,7.425,53,4026
85,6.078,54,4026
86,6.002,55,4026
87,4.385,55,4026
88,16.289,59,4026
89,4.647,59,4026
90,4.039,60,4026
91,5.268,61,4026
92,4.227,61,4026
93,5.512,62,4026
94,6.244,63,4026
95,6.270,64,4026
96,5.281,64,4026
97,5.151,65,4026
98,14.516,66,4026
99,5.031,67,4026
100,14.837,67,4026
101,5.524,68,4026
102,5.544,69,4026
103,5.168,70,4026
104,4.248,70,4026
105,4.428,71,4026
106,5.075,72,4026
107,4.002,73,4026
108,15.054,73,4026
109,14.253,74,4026
110,6.165,75,4026
111,15.657,76,4026
112,16.028,76,4026
113,15.431,77,4026
114,4.259,78,4026
115,15.895,79,4026
116,4.013,79,4026
117,3.782,80,4026
118,16.755,81,4026
119,14.571,81,4026
120,4.654,82,4026
121,4.514,83,4026
122,19.570,35,4026
123,4.011,35,4026
124,5.016,36,4026
125,4.647,37,4026
126,4.269,38,4026
127,15.248,38,4026
128,5.695,39,4026
129,15.847,40,4026
130,5.222,41,4026
131,5.393,41,4026
132,4.936,42,4026
133,6.075,43,4026
134,4.355,44,4026
135,5.060,44,4026
136,4.719,45,4026
137,4.162,46,4026
138,14.759,46,4026
139,15.530,47,4026
140,4.147,48,4026
141,3.413,49,4026
142,14.757,49,4026
143,4.418,50,4026
144,14.768,51,4026
145,4.651,52,4026
146,4.499,52,4026
147,3.978,53,4026
148,5.706,54,4026
149,3.713,55,4026
150,4.664,55,4026
151,13.972,56,4026
152,14.738,59,4026
153,14.211,60,4026
154,13.385,61,4026
155,3.727,62,4026
156,4.879,62,4026
157,3.553,63,4026
158,3.996,64,4026
159,13.008,64,4026
160,3.000,65,4026
161,14.554,66,4026
162,4.157,67,4026
163,14.114,67,4026
164,13.950,68,4026
165,3.223,69,4026
166,3.699,70,4026
167,3.617,70,4026
168,5.068,71,4026
169,3.751,72,4026
170,3.806,73,4026
171,14.543,73,4026
172,13.836,74,4026
173,15.089,75,4026
174,14.588,76,4026
175,3.915,76,4026
176,13.811,77,4026
177,3.329,78,4026
178,4.177,78,4026
179,5.717,79,4026
180,14.965,80,4026
181,5.122,81,4026
182,3.492,81,4026
183,3.734,82,4026
184,3.721,36,4026
185,3.917,37,4026
186,3.188,37,4026
187,3.846,38,4026
188,3.393,39,4026
189,4.551,40,4026
190,3.798,40,4026
191,13.241,41,4026
192,4.485,42,4026
193,15.481,43,4026
194,3.472,43,4026
195,4.550,44,4026
196,3.221,45,4026
197,2.855,45,4026
198,3.910,46,4026
199,3.786,47,4026
200,3.913,48,4026
201,15.296,49,4026
202,15.001,49,4026
203,14.380,50,4026
204,4.316,51,4026
205,13.188,51,4026
206,14.314,52,4026
207,13.641,53,4026
208,3.414,54,4026
209,13.084,54,4026
210,3.769,55,4026
211,3.113,56,4026
212,13.069,57,4026
213,14.139,57,4026
214,13.918,58,4026
215,3.551,59,4026
216,14.156,62,4026
217,4.327,63,4026
218,14.480,64,4026
219,13.292,64,4026
220,3.474,65,4026
221,3.311,66,4026
222,13.465,67,4026
223,13.483,67,4026
224,3.722,68,4026
225,13.877,69,4026
226,3.654,69,4026
227,5.483,70,4026
228,6.123,71,4026
229,8.771,72,4026
230,8.764,72,4026
231,6.842,73,4026
232,5.805,74,4026
233,5.294,75,4026
234,7.202,75,4026
235,6.696,76,4026
236,16.053,77,4026
237,6.877,77,4026
238,8.501,78,4026
239,7.188,79,4026
240,5.741,80,4026
241,6.058,80,4026
242,4.439,81,4026
243,3.936,82,4026
244,6.267,83,4026
245,4.776,83,4026
246,6.026,36,4026
247,14.825,37,4026
248,4.803,38,4026
249,5.051,38,4026
250,4.892,39,4026
251,14.458,40,4026
252,5.907,41,4026
253,3.579,41,4026
254,14.127,42,4026
255,14.931,43,4026
256,4.099,44,4026
257,3.925,44,4026
258,4.117,45,4026
259,4.542,46,4026
260,4.339,47,4026
261,3.333,47,4026
262,13.465,48,4026
263,3.217,49,4026
264,3.736,49,4026
265,13.631,50,4026
266,3.709,51,4026
267,3.323,52,4026
268,12.838,52,4026
269,3.030,53,4026
270,3.292,54,4026
271,3.178,55,4026
272,3.503,55,4026
273,3.725,56,4026
274,14.101,57,4026
275,3.553,57,4026
276,3.290,58,4026
277,13.567,59,4026
278,14.214,60,4026
279,15.077,60,4026
280,15.551,64,4026
281,3.979,64,4026
282,3.932,65,4026
283,4.991,66,4026
284,13.934,67,4026
285,4.419,67,4026
286,14.521,68,4026
287,15.014,69,4026
288,4.160,70,4026
289,3.252,70,4026
290,3.682,71,4026
291,3.423,72,4026
292,3.709,73,4026
293,14.486,73,4026
294,3.066,74,4026
295,14.482,75,4026
296,13.218,75,4026
297,3.253,76,4026
298,3.359,77,4026
299,13.234,78,4026
300,6.023,78,4026
301,4.040,79,4026
302,5.308,80,4026
303,3.837,81,4026
304,3.289,81,4026
305,5.229,82,4026
306,4.723,83,4026
307,6.254,37,4026
308,14.074,37,4026
309,4.464,38,4026
310,3.819,39,4026
311,4.440,40,4026
312,4.477,40,4026
313,4.611,41,4026
314,3.918,42,4026
315,5.234,43,4026
316,4.977,43,4026
317,4.044,44,4026
318,4.746,45,4026
319,3.750,46,4026
320,3.573,46,4026
321,14.196,47,4026
322,14.612,48,4026
323,4.068,48,4026
324,4.691,49,4026
325,14.015,50,4026
326,2.998,51,4026
327,2.964,51,4026
328,3.225,52,4026
329,3.816,53,4026
330,14.071,54,4026
331,13.491,54,4026
332,3.436,55,4026
333,3.421,56,4026
334,3.445,56,4026
335,5.289,57,4026
336,3.777,58,4026
337,3.781,59,4026
338,3.655,59,4026
339,3.774,60,4026
340,3.752,61,4026
341,4.617,62,4026
342,14.947,62,4026
343,6.718,63,4026
344,14.725,66,4026
345,13.874,67,4026
346,3.351,68,4026
347,3.424,69,4026
348,4.239,69,4026
349,3.604,70,4026
350,14.278,71,4026
351,3.276,72,4026
352,4.953,72,4026
353,15.582,73,4026
354,4.873,74,4026
355,3.351,74,4026
356,13.434,75,4026
357,13.448,76,4026
358,3.401,77,4026
359,13.423,77,4026
360,3.782,78,4026
361,3.427,79,4026
362,4.154,80,4026
363,3.932,80,4026
364,3.769,81,4026
365,14.123,82,4026
366,3.287,83,4026
367,3.606,83,4026
368,2.799,84,4026
369,3.774,38,4026
370,14.303,39,4026
371,3.289,39,4026
372,3.261,40,4026
373,3.669,41,4026
374,3.708,41,4026
375,5.093,42,4026
376,4.862,43,4026
377,4.245,44,4026
378,4.269,44,4026
379,4.560,45,4026
380,15.062,46,4026
381,14.502,47,4026
382,15.696,47,4026
383,4.028,48,4026
384,6.099,49,4026
385,4.440,49,4026
386,14.651,50,4026
387,3.950,51,4026
388,3.586,52,4026
389,3.605,52,4026
390,3.507,53,4026
391,3.756,54,4026
392,3.805,55,4026
393,5.285,55,4026
394,13.662,56,4026
395,3.937,57,4026
396,13.616,58,4026
397,3.594,58,4026
398,13.252,59,4026
399,3.775,60,4026
400,3.912,61,4026
401,3.134,61,4026
402,16.397,62,4026
403,3.902,63,4026
404,3.423,64,4026
405,4.079,64,4026
